|Название|О товаре|Производитель|Торговая марка|Страна|Вес|Объем|Состав|Вид|Энергетическая ценность|Белки|Жиры|Углеводы|Срок годности|Стоимость|IMG URL|URL
2241|Творог Домик в деревне 0.1% 170г|Творог Домик в деревне 0.1% 170г — превосходный источник белка и кальция в упаковке увеличенного объема, удобной для быстрого употребления продукта. Творог изготавливается из свежего молока, собранного на проверенных фермерских хозяйствах, для того, чтобы вы смогли насладиться здоровым перекусом в любом месте в любое время. Он почти не содержит жира, а поэтому отлично подходит тем, кто ведет активный образ жизни, занимается спортом или соблюдает диету. К тому же вы можете использовать творог «Домик в деревне» для заправки салатов и приготовления воздушных творожных муссов, а смешав его с вареньем, медом или джемом, вы получите великолепный ароматный десерт приятной консистенции, без комочков и воды, который придется по вкусу и детям, и взрослым.|Вимм-Биль-Данн|Домик в деревне|Россия|0.17 кг||А – молоко обезжиренное, закваска, сычужный фермент; В – молоко обезжиренное, молоко восстановленное, закваска, сычужный фермент||55.0|10 г|0.1 г|3.5 г|25 дней|54,9₽/шт|https://media.vprok.ru/products/x700/2h/lj/y22dvoyvumsh7dpret4qch2zbymnlj2h.jpeg|https://www.vprok.ru/product/domik-v-derevne-d-v-d-tvorog-myagkiy-0-1-170g--542532
2242|Пастила Белевская Пастильная Мануфактура с клюквой без сахара 100г|Пастила Белевская Пастильная Мануфактура с клюквой без сахара 100г – 100% натуральный десерт, приготовленный вручную. В составе ничего лишнего: только яблоки, клюква и яичный белок. Лакомство создается по рецепту Белевских мастеров без добавления искусственных ароматизаторов, красителей и консервантов. Оно обладает восхитительным, естественно сладким вкусом, хотя не содержит сахара. Пастила – это не только вкусный, но и очень полезный десерт, который подойдет маленьким детям, аллергикам и всем, кто следит за фигурой. Красиво оформленная картонная коробочка станет достойным украшением любого чаепития. Белевская пастила производится по оригинальной рецептуре 1888 года из яблок сорта Антоновка, которые запекают на медном противне с использованием исключительно березовых дров.|Белевская пастила|Белевская пастильная мануфактура|Россия|0.1 кг||Яблоки, клюква, яичный белок||276.0|4 г||65 г|120 дней|175₽/шт|https://media.vprok.ru/products/x700/cx/ug/htt56uzvio7deshg6too4asjbvsdugcx.jpeg|https://www.vprok.ru/product/belevskaya-pastilnaya-manufaktura-bel-pm-past-bel-s-klyuk-bs-100g--438290
2243|Яблоки Гала|Яблоки Гала - сорт яблок, выведенный в Новой Зеландии и быстро ставший популярным во всем мире. Плоды среднего размера, с красноватой кожурой и немногочисленными вертикальными полосками желтого или желто-зеленого цвета. Мякоть хрустящая, сочная, с приятным десертным вкусом. Яблоки - низкокалорийный фрукт, в нем содержится много витаминов, минералов, антиоксиданты и пектин. Их можно употреблять в чистом виде, добавлять в салаты, горячие блюда, начинки для пирогов, запекать с медом и сухофруктами.||||||||47.0|0.4 г|0.4 г|9.8 г|9 дней|119₽/кг|https://media.vprok.ru/products/x700/px/ow/rnuiuke2uvhx2ovjvatxuxyvvu4sowpx.jpeg|https://www.vprok.ru/product/yabloki-gala-1kg--304061
2244|Икра сазана  Лунское море 120г||Лунское море||Россия|0.12 кг||Икра сазана, вода, соль пищевая, масло растительное, пищевые добавки:усилитель вкуса и аромата Е621 (глутомат натрия); стабилизаторы : Е415 (ксантановая камедь), Е410 (камедь рожкового дерева), Е412 (гуаровая камедь); консерванты Е200 (сорбиновая кислота), консервант Е211 (бензоат натрия)||179.0|18.5 г|12.5 г|1.2 г|365 дней|89,9₽/шт|https://media.vprok.ru/products/x700/cd/st/zh6mb5vr6fopiqar2ay6mhwjshkfstcd.jpeg|https://www.vprok.ru/product/lunskoe-more-lun-more-ikra-sazana-jb-120g--993470
2245|Кетчуп Кухмастер Лечо 260г||Кухмастер||Россия||0.26 л|Томатное пюре, сахар, загуститель крахмал картофельный, сладкий перец, соль, уксус, лук, морковь, петрушка, чеснок||130.0|3.5 г|1 г|26 г|365 дней|68,9₽/шт|https://media.vprok.ru/products/x700/5r/3s/eswlgpin2pt7bi6whwo4ozgopy2l3s5r.jpeg|https://www.vprok.ru/product/kuhmaster-kuhmaster-ketchup-lecho-260g--632352
2246|Крекер Delser Integrale из непросеянной муки 200г||Quality Food Group S.p.A|Delser|Италия|0.2 кг||пшеничная мука высший сорт, пшеничная мука грубого помола 39% (пшеничная мука 80%, пшеничные отруби 20%); подсолнечное масло, соль, регулятор кислотности: гидрокарбонат натрия; солодовая ячменная мука, дрожжи, пшеничная клейковина, солодовый экстракт (пшеница и ячмень), антиокислитель: экстракт розмарина. Может содержать: сою, молоко и кунжут||443.0|11 г|1.9 г|2.4 г|365 дней|245₽/шт|https://media.vprok.ru/products/x700/pm/4a/ef7cjllycgcl43vtv7dlkef5rwoi4apm.jpeg|https://www.vprok.ru/product/delser-delser-kreker-croste-integ-200g--738221
2247|Чай зеленый Зеленая Панда Нефритовый сад 100г||Мал Ком|Зеленая Панда|Россия|0.1 кг||Чай зеленый байховый китайский крупнолистовой - Сенча||||||1095 дней|269,9₽/шт|https://media.vprok.ru/products/x700/db/ae/kfa4ajg7i7stas32a5hvrqpug4t3aedb.jpeg|https://www.vprok.ru/product/zelenaya-panda-z-pan-chay-nef-sad-zel-krl-100g--552481
2248|Чипсы Rice Up из бурого риса Барбекю 60г||Нухелт|Rice Up|Болгария|0.06 кг||Коричневый рис из цельного зерна 74%, оливковое масло 18%, вкусовая смесь 8% [натуральные ароматизаторы, сахар, соль, кукурузный глюкозный сироп, картофельный мальтодекстрин, растительные масла (кокосовое масло и пальмовое масло), регулятор кислотности: лимонная кислота; приправы, краситель: сульфит аммония, карамель, капсантин, экстракт паприки]||447.0|6.7 г|18 г||365 дней|134,9₽/шт|https://media.vprok.ru/products/x700/tm/pe/3gntaccvprxi6i425idycgbcvcgepetm.jpeg|https://www.vprok.ru/product/rice-up-r-up-chipsy-tsz-vk-barb-ris-60g--993259
2249|Нектар J-7 Ананас с мякотью 970мл|Нектар J-7 Ананас с мякотью 970мл отлично подойдет как для взрослых, так и для детей с 3-х лет. Изготовлен на основе натурального ананасового сока без добавления искусственных красителей и ароматизаторов. Обладает в меру сладким освежающим вкусом и приятным тропическим ароматом. Природные витамины и минералы, входящие в его состав, способствуют поддержанию здоровья, а клетчатка оказывает благотворное влияние на пищеварение. Современная упаковка «тетрапак» надежно сохраняет свежесть и питательную ценность напитка. После открытия нектар следует хранить в холодильнике не более суток. Зарядитесь энергией вкусных фруктов вместе с J-7!|"ООО ""Лебедянский"""|J7|Россия||0.97 л|Ананасовый сок, сахар или сахар и глюкозно-фруктозный сироп, регулятор кислотности - лимонная кислота, вода||55.0|0.3 г|0 г|14 г|365 дней|139,9₽/шт|https://media.vprok.ru/products/x700/qa/7a/p5wezj3zurthbsjqba3s453vqqlr7aqa.jpeg|https://www.vprok.ru/product/j7-j-7-nekt-ananasovyy-s-myak-0-97l--306578
2250|Стейк из семги из замороженного сырья Чили||||Чили|||Лосось атлантический дефростированный (семга). Из замороженного сырья||641.0|20 г|15.3 г||1 день||https://media.vprok.ru/products/x700/2j/uv/6uqnsu52bwqt2gqx3frjnkwun3wnuv2j.jpeg|https://www.vprok.ru/product/perekrestok-spmisteyk-iz-semgi-iz-zs-1kg--1131417
2251|Сливки Село Зеленое 10% 500мл|"Сливки Село Зеленое 10% 500мл - это 100% натуральный, экологически чистый продукт от российского производителя, приготовленный из отборного сырья без консервантов и искусственных добавок. Использование передовых технологий позволяет сохранять в молочной продукции Село Зеленое всю пользу и вкус настоящего деревенского молока ""из-под коровы"". Питьевые сливки - незаменимый компаньон для чашечки кофе или чая. Они подходят для приготовления сливочных соусов и крем-супов, выпечки и коктейлей с мороженым. Удобный пакет с отвинчивающейся крышечкой."|Милком|Село Зеленое|Россия||0.5 л|Сливки нормализованные|Коровье|118.0|2.6 г|10 г|4.5 г|150 дней|109,99₽/шт|https://media.vprok.ru/products/x700/wo/22/fwo2x2bvmsaeqtrpipihiknx5nat22wo.jpeg|https://www.vprok.ru/product/selo-zelenoe-selo-zelenoe-slivki-10-sterilizov-500g--308048
2252|Напиток растительный Kara Organic кокосовый 17% 200мл||PT. Pulau Sambu|Kara|Индонезия||0.2 л|Органическая мякоть кокосового ореха 64%, вода 36%||176.0|2 г|18 г|2 г|540 дней|132₽/шт|https://media.vprok.ru/products/x700/24/yi/n4x6hqd5gqsxr4xlptw5icukth2iyi24.jpeg|https://www.vprok.ru/product/kara-organicheskoe-kokosovoe-moloko-kara-organic-17-200-ml--1239851
2253|Кетчуп Heinz Супер острый 320г||Петропродукт-Отрадное|Heinz|Россия||0.32 л|Вода, паста томатная, сахар, уксус натуральный, соль, ароматизатор натуральный (содержит сельдерей), перец халапеньо зеленый, перец кайенский||25.0|1 г|0.1 г|25 г|365 дней|129,9₽/шт|https://media.vprok.ru/products/x700/kt/fj/ccy44lewxxhhaehh64sywmyt2k7bfjkt.jpeg|https://www.vprok.ru/product/heinz-heinz-ketchup-super-ostryy-320g--1109744
2254|Смесь овощная Hortex Овощи для жарки с картофелем быстрозамороженные 400г||Polski Ogrod|Hortex|Польша|0.4 кг||Овощи в изменяемых соотношениях: обжаренный картофель (картофель, пальмовое масло), капуста брокколи, морковь, стручковая фасоль, лук, кукуруза, сладкий перец||63.0|2.2 г|2.1 г|13.1 г|730 дней|179,9₽/шт|https://media.vprok.ru/products/x700/fr/ot/eredhuhh7jpp6b222ybzcfupina5otfr.jpeg|https://www.vprok.ru/product/hortex-hort-sm-ov-djar-kart-obj-400g--954346
2255|Чипсы Lays Из печи Лисички в сметане 85г|Чипсы Lays Из печи Лисички в сметане 85г сделаны из отборного картофеля с добавлением специй и вкусоароматических компонентов. Тонкие и хрустящие, они имеют нежный сливочно-грибной вкус. Благодаря приготовлению путем выпекания, чипсы содержат пониженное содержание жира, что делает их легкими и менее калорийными. Марка «Lays» появилась в Америке, в сороковых годах двадцатого столетия. Ее создал бизнесмен Герман В. Лэй, который открыл производство картофельных чипсов, быстро набирающих популярность во всем мире. Оригинальное название его компании сохранилось и по сей день. Чипсы из печи со вкусом лисичек в сметане - отличная идея для перекуса и вечеринки в кругу друзей и близких.|Фрито Лей Мануфактуринг|Lays|Россия|0.085 кг||Картофельные хлопья (картофель, эмульгатор (моно- и диглицериды жирных кислот), декстроза, стабилизатор (дигидропирофосфат натрия), регулятор кислотности (лимонная кислота)), кукурузный крахмал, растительное масло, комплексная пищевая добавка (соль, мука пшеничная, усилители вкуса и аромата (глутамат натрия 1-замещённый, 5-гуанилат натрия 2-замёщенный 5-инозинат натрия 2-замещённый), сахар, вкусоароматические вещества (содержат экстракт грибов, луковый порошок, чесночный порошок, экстракт паприки), специи, лактоза (из молока), гидролизованный белок кукурузы (содержит сою), регуляторы кислотности (лактат кальция, лимонная кислота), термический технологический ароматизатор, красители (экстракт паприки, сахарный колер IV), мука пшеничная, сахар, эмульгатор (соевый лецитин), разрыхлители (орто-Фофсфат кальция 1-замещённый, гидрокарбонат натрия), краситель (куркумин). Продукт может содержать незначительное количество ракообразных, порошка рыбы, горчицы||450.0|6 г|17 г|68 г|150 дней|89,9₽/шт|https://media.vprok.ru/products/x700/u7/ba/7kxzaaxt37izn44qctf5dojxo5o2bau7.jpeg|https://www.vprok.ru/product/lays-lays-chips-kart-vk-lis-v-sm-85g--500747
2256|Начос Delicados Стейк аргентинский 100г||Мишн Фудс Ступино|Delicados|Россия|0.1 кг||Зерно кукурузы, вода, масло подсолнечное высокоолеиновое рафинированное дезодорированное, ароматизатор пищевой (соль, сахар, мальтодекстрин, усилители вкуса и аромата (глутамат натрия, гуанилат натрия, инозинат натрия), лук порошок, жир растительный, регуляторы кислотности (лимонная кислота, ацетаты натрия), натуральные вкусоароматические вещества, вкусоароматические вещества, дрожжевой экстракт, краситель (экстракт паприки, агент антислеживающий Е551), регулятор кислотности Е526, антиокислитель Е319||467.0|6.2 г|23 г|56 г|270 дней|105₽/шт|https://media.vprok.ru/products/x700/a7/li/apffku264y3xhb5tn5ynlrk4hca7lia7.jpeg|https://www.vprok.ru/product/delicados-chipsy-kukuruznye-delicados-so-vkusom-3834steyk-argentinskiy-3834-100-gr--1227248
2257|Вода Кисловодская Целебная минерально-столовая газированная 1.5л||Нарсан|Кисловодская Целебная|Россия||1.5 л|Минерализация, г/л 2.8-63. Химический состав, мг/л: Гидрокарбонаты 800-2300, сульфаты 1300-2100, хлориды 40-70, кальций 150-650, магний 200-400, натрий+калий 350-700||1.0||||365 дней|57,9₽/шт|https://media.vprok.ru/products/x700/h2/th/jkqp5t2ugtenatr4mu2uqpyipfkithh2.jpeg|https://www.vprok.ru/product/kislovodskaya-tselebnaya-voda-kislov-tsel-min-pit-lst-gazpet-1-5l--1055710
2258|Риет Меридиан лососевый с миндалем 100г||Меридиан||Россия|0.1 кг||Горбуша, вода, масло подсолнечное рафинированное дезодорированное, сливки сухие, орехи (миндаль), молочный белок, соль, лук репчатый сушеный, загустители гуаровая и ксантановая камедь, перец черный молотый||230.0|11 г|18 г|7 г|120 дней|149₽/шт|https://media.vprok.ru/products/x700/jb/vh/km6cckqlj4j64hysk26v47javnm5vhjb.jpeg|https://www.vprok.ru/product/meridian-meridian-riet-eko-ilososya-s-mindal-100g--514080
2259|Фасоль Bonduelle Classique Белая 400г|Фасоль Bonduelle Classique Белая 400г в собственному соку с ароматной паприкой и чесноком - это натуральный и полезный продукт, который можно использовать для приготовления самых разнообразных блюд. С ней получаются вкуснейшие салаты, мясные рагу, мексиканские буррито и кесадильи, оригинальные бутерброды и хумус, сытные супы с копченостями или сливочные крем-супы, вегетарианская паэлья и овощные пюре. Продукт не содержит консервантов, искусственных добавок и ГМО. Упакован в жестяную банку с ключом на крышке.|Bonduelle|Bonduelle|Россия|0.4 кг|0.425 л|Белая фасоль, вода питьевая, сахар, соль, уксус, перец красный, чеснок, перец белый||66.0|7 г|0.4 г|6 г|1460 дней|119,9₽/шт|https://media.vprok.ru/products/x700/dq/dj/zjvndzfk3suksny2reqxiun4pdrjdjdq.jpeg|https://www.vprok.ru/product/bonduelle-bonduell-fasol-bel-klassichesk-jb-425ml--304753
2260|Арахис Grand Master жареный соленый 580г||Мастер|Grand Master|Россия|0.58 кг||Арахис жареный, соленый||571.0|26 г|48.1 г|8.6 г|250 дней|342₽/шт|https://media.vprok.ru/products/x700/v2/on/rrpjbsdgo2d2nsbmn37vi4dbbveronv2.jpeg|https://www.vprok.ru/product/grand-master-ar-jar-sol-gr-mas-ban-580g--1063811
2261|Хлебцы Wasa пшеничные с кунжутом и морской солью 235г|Хлебцы Wasa пшеничные с кунжутом и морской солью 235г прекрасно подойдут для полезного завтрака или лёгкого перекуса. Имеют простой и натуральный состав. Посыпка из морской соли и семян кунжута придает им легкую пикантность. Эти вкусные хрустящие хлебцы хороши как сами по себе, так и в сочетании с красной рыбой, сливочным сыром или свежими овощами. Они отлично утоляют чувство голода и обогащают организм клетчаткой, необходимой для комфортного пищеварения. Продукция не содержит искусственных ароматизаторов, красителей и консервантов, поэтому хорошо впишется в рацион приверженцев здорового питания.|Barilla Sverige AB|Wasa|Швеция|0.235 кг||Мука пшеничная цельнозерновая, мука пшеничная, семена кунжута, масло рапсовое, вода, соль морская, солодовый экстракт из ячменя, соль, дрожжи, антиокислитель: экстракты розмарина. Хранить в сухом и темном месте.|Пшеничные|425.0|12.2 г|13.5 г|59 г|420 дней|358₽/шт|https://media.vprok.ru/products/x700/ga/xj/v7rfcvw4us5wti5izo55tzci76pexjga.jpeg|https://www.vprok.ru/product/wasa-wasa-hl-psh-tsz-kunj-i-m-s-235g--983556
2262|Лапша Тестов Лагманная домашняя 500г|Лапша Тестов Лагманная домашняя 500г изготовлена из высших сортов муки по уникальной технологии: тесто раскручивают особым способом и вытягивают его в моток лапши. Она практически готова к употреблению - просто опустите ее в кипящую воду и варите приблизительно 5-7 минут. Лапша получится такой же вкусной, как и домашняя, приготовленная своими руками. А чтобы приготовить лагман, потушите мясо с овощами и томатным соусом, добавьте лапшу и, перемешивая, доведите ее до готовности. Торговая марка «Тестов» - это успешный производитель охлажденного теста c современным подходом к домашней кухне.|РДК|Тестов|Россия|0.5 кг||Мука пшеничная в/с, вода питьевая, мука твердых сортов пшеницы, крахмал кукурузный, соль, масло подсолнечное||255.0|8 г|1.2 г|53 г|30 дней|128₽/шт|https://media.vprok.ru/products/x700/2f/a7/c446kor3xurcouzhjfxjcuhfxnega72f.jpeg|https://www.vprok.ru/product/testov-lapsha-lagmannaya-domashnyaya-500g--349678
2263|Йогурт ЦарКа Манго 3.5% 400г||Судогодский МЗ|ЦарКа|Россия|0.4 кг||Молоко нормализованное, фруктово-ягодный наполнитель (сахар, манго, вода, стабилизатор дикрахмалфосфат оксипропилированный, ароматизатор, регулятор кислотности лимонная кислота, краситель каротин), закваска||100.0|2.8 г|3.5 г|14.3 г|14 дней|93,9₽/шт|https://media.vprok.ru/products/x700/l3/v6/na22x3dslj52k6ufa75wctvta2ikv6l3.jpeg|https://www.vprok.ru/product/tsarka-tsarka-yog-nap-mango-3-5-400g--513636
2264|Паста томатная Mutti 130г||Mutti S.p.A.|Mutti|Италия|0.13 кг||Томаты (99,5%), соль. Массовая доля сухих веществ 28%||96.0|4.2 г|0.2 г|17 г|730 дней|177₽/шт|https://media.vprok.ru/products/x700/rb/w4/onbrw4x3k7dwr67kpyxjzbsxstbdw4rb.jpeg|https://www.vprok.ru/product/mutti-mutti-pasta-tomatn-s-mdsv-28-tyubik-130g--718201
2265|Попкорн Holy Corn Морская соль для СВЧ 65г|Попкорн Holy Corn Морская соль для СВЧ 65г предназначен для приготовления в микроволновой печи. Он производится из отборных кукурузных зерен с добавлением морской соли и кокосового масла. Не содержит ГМО, вредных искусственных добавок и консервантов, поэтому прекрасно подходит для всех, кто предпочитает здоровое питание. Скорее открывайте коробочку и действуйте в соответствии с инструкцией. Вынимая пакет с попкорном из микроволновки, будьте осторожны: он горячий! Хрустящая воздушная кукуруза идеально подойдет для просмотра кино в кругу семьи или с друзьями, утолит легкий голод и обогатит организм массой полезных веществ. А еще ее можно взять с собой на прогулку, в дорогу или на учебу.|Юникорн|Holy Corn|Россия|0.065 кг||Зерно кукурузы, кокосовое масло, морская соль, рапсовое масло||436.2|8.4 г|23 г|10.5 г|365 дней||https://media.vprok.ru/products/x700/3e/i3/fvhjbo6ktvzcyyabpgi3nbfrd7uqi33e.jpeg|https://www.vprok.ru/product/holy-corn-holyc-zerno-mor-s-kuk-dpop-65g--1003651
2266|Кофе в зернах Lebo Classic Арабика 1кг||Компания Продукт-Сервис|Lebo|Россия|1 кг||Кофе жаренный в зернах||99.0|19 г|1.8 г|1.5 г|547 дней|1 899₽/шт|https://media.vprok.ru/products/x700/oi/6s/aqahyccuhjbkrre6oyhup6ff6asa6soi.jpeg|https://www.vprok.ru/product/lebo-lebo-kofe-lebo-klas-zer-1000g--1055898
2267|Сок Дары Кубани мультифрукт 200мл||Южная соковая компания|Дары Кубани|Россия||0.2 л|Яблочный сок, банановое пюре, апельсиновый сок, ананасовый сок||50.0|||12 г|365 дней|26,99₽/шт|https://media.vprok.ru/products/x700/du/ru/2gj3sdw6wwn7n6eppvscxwr2lislrudu.jpeg|https://www.vprok.ru/product/dary-kubani-d-kub-sok-multif-vos-det-200ml--870430
2268|Батончик фруктово-ореховый Маркет Зеленая линия Кокос 35г||НоваПродукт|Маркет Зеленая линия|Россия|0.035 кг||||||||365 дней|42,9₽/шт|https://media.vprok.ru/products/x700/z6/yk/46kknfm6dyprc5h6pd2zzvzfd2gjykz6.jpeg|https://www.vprok.ru/product/market-zelenaya-liniya-z-lin-batonch-fr-or-s-kokos-35g--957334
2269|Напиток Gorilla энергетический Личи груша 450мл||МПК|Gorilla|Россия||0.45 л|вода питьевая подготовленная, сахар, концентрированный сок из белого винограда, натуральный ароматизатор замутнитель (натуральные вкусоароматические вещества, стабилизатор гуммиарабик, регулятор кислотности кислота лимонная, консервант сорбат калия), регуляторы кислотности: кислота лимонная, цитрат натрия 3-замещенный, ароматизатор пищевой натуральный «Личи-Груша», таурин, кофеин натуральный, стабилизатор гуммиарабик, премикс витаминный.||50.0|0 г|0 г|12 г|547 дней|88,9₽/шт|https://media.vprok.ru/products/x700/pt/yh/7qbtaampmt7pwktuk5zhut2omhpbyhpt.jpeg|https://www.vprok.ru/product/gorilla-napitok-bezalkogolnyy-toniziruyuschiyenergeticheskiy-silnogazirovannyy-pasterizovannyy-gorilla-lichi-grusha-jb-0-45l--1140884
2270|Конфеты Азовская КФ Сливочные 400г||Азовская КФ||Россия|0.4 кг||Сахар, молоко цельное сгущенное с сахаром (цельное молоко, обезжиренное молоко, сахар (сахароза, лактоза)), патока, масло сливочное (пастеризованные сливки из коровьего молока), агент влагоудерживающий – сорбитовый сироп, ароматизатор “Ванилин”||380.0|3 г|4 г|82 г|150 дней|94,9₽/шт|https://media.vprok.ru/products/x700/xq/tp/5pbjs5vdrw5ywotxl5xh3byfnzsgtpxq.jpeg|https://www.vprok.ru/product/azovskaya-kf-konfety-molochnye-400g--349595
2271|Рулеты из палтуса с сыром креметте и водорослями чука в ореховом соусе замороженный 340г||||Россия|0.34 кг||||195.3|17.5 г|10 г|8.7 г|365 дней|1 199₽/шт|https://media.vprok.ru/products/x700/ze/a4/rhuebef7n3dpndnnwb2ds3p5euqaa4ze.jpeg|https://www.vprok.ru/product/rulety-iz-paltusa-s-syrom-kremette-i-vodoroslyami-chuka-v-orehovom-souse--1184928
2272|Минтай охлажденный филе без кожи 1кг|Минтай охлажденный филе без кожи – нежирное, низкокалорийное филе одной из самых распространенных в нашей стране и полезных рыб, которое отлично дополнит рацион активного человека. Минтай, по вкусу напоминающий своего сородича – треску, имеет высокую питательную ценность, содержит целый набор витаминов, микро- и макроэлементов, необходимых каждому из нас. Из филе минтая можно быстро и легко приготовить суп, запечь его в духовке с картофелем; сделать заливное или рыбные котлеты также не составит никакого труда. В любом виде минтай является отличным поставщиком йода, жирных кислот, витамина D и множества других важных нутриентов для нашего организма.||||||Минтай||||||12 дней||https://media.vprok.ru/products/x700/37/qh/sapemudxlqajbkczkgdnwd546tphqh37.jpeg|https://www.vprok.ru/product/file-mintaya-bez-koji-ohlajdennoe-1kg--303928
2273|Рис Увелка Басмати 5пак*80г||Ресурс|Увелка|Россия|0.4 кг||Рис||350.0|7 г|1 г|77 г|547 дней|155,9₽/шт|https://media.vprok.ru/products/x700/we/ms/j2gheqp33vrwi6yshvx57hubbbfgmswe.jpeg|https://www.vprok.ru/product/uvelka-uvelka-ris-basmati-5h80g--418445
2274|Хлеб Рижский Хлеб Купеческий заварной подовый 220г||Рижский Хлеб||Россия|0.22 кг||Мука ржаная хлебопекарная сеяная, вода, мука пшеничная хлебопекарная первого сорта, сахар-песок, солод ржаной, соль поваренная пищевая, тмин, отруби пшеничные||200.0|4.5 г|1 г|43 г|6 дней||https://media.vprok.ru/products/x700/wy/uc/b53mccofl6njpig7e2ka7lnsu2y2ucwy.jpeg|https://www.vprok.ru/product/rijskiy-hleb-rij-hl-hleb-kup-zav-pod-sm-rjpsh-m-220g--509336
2275|Хлебцы Молодцы Лайт ржаные без дрожжей 70г||Молодец|Хлебцы молодцы|Россия|0.07 кг||Мука пшеничная хлебопекарная высшего сорта, мука ржаная хлебопекарная обдирная, солод ржаной, вода питьевая очищенная, масло высокоолеиновое подсолнечное,соль поваренная пищевая, эмульгатор натуральный растительный (соевый) лецитин,пищевая добавка антислеживающий агент (карбонат магния), разрыхлитель гидрокарбонат натрия (сода пищевая) премикс витаминно-минеральный Ровифарин 4D|Ржаные|345.0|10.1 г|4.8 г|65.3 г|270 дней|52,9₽/шт|https://media.vprok.ru/products/x700/gn/v6/4bi5a3ptyp7wo6qur2gm7eqzwlnlv6gn.jpeg|https://www.vprok.ru/product/hlebtsy-molodtsy-hlebtsy-molodtsy-layt-rj-70g--332392
2276|Торт У Палыча Наполеон оригинальный 400г|Торт У Палыча Наполеон оригинальный 400г удовлетворит запросы даже самых искушенных гурманов. Ведь давно известно: чем больше тончайших коржей слоеного теста в этом десерте, тем он качественнее и вкуснее! А здесь их точно не меньше двенадцати! И каждый промазан слоем нежного сливочно-заварного крема. Декорирован торт традиционно - сверху и по бокам обсыпан мелкой крошкой от слоеных коржей. Изделие хорошо режется, сохраняет форму. Рекомендуется хранить в холодильнике. Один торт - это примерно 4 порции.|Компания у Палыча|У Палыча|Россия|0.4 кг||Мука пшеничная в/с, масло сливочное (14%), молоко цельное, маргарин молочный (рафинированные и дезодорированные растительные масла, вода, эмульгаторы (моно- и диглицериды жирных кислот), краситель (аннато-куркумин), вода очищенная, мороженое сливочное «Пломбир» (молоко цельное, сливки 38%-ной жирности, масло сливочное, сахар, молоко сухое обезжиренное, глюкоза, стабилизатор (гуаровая камедь), ароматизатор натуральный «Ваниль»), сахар-песок, яйцо куриное пищевое, лимоны свежие, соль, консервант (сорбиновая кислота)|Слоеный, Наполеон|413.0|5.9 г|32.7 г|23.8 г|7 дней|547,99₽/шт|https://media.vprok.ru/products/x700/k7/hn/l4xpaxyy3ur3rb7kwnbatxbiugichnk7.jpeg|https://www.vprok.ru/product/u-palycha-u-palycha-tort-napoleon-400g--308317
2277|Клубника Sun Emotions 60г||Isik Terim Urunleri|Sun Emotions|Турция|0.06 кг||Клубника сушеная, концентрат яблочного сока|Клубника|320.0|3 г|1 г|27 г|450 дней|249₽/шт|https://media.vprok.ru/products/x700/6b/6z/wu3hugpzjgn5q4gxunykqorilmx56z6b.jpeg|https://www.vprok.ru/product/sun-emotions-klubnika-60g-sun-emotions--1118480
2278|Треска Бухта изобилия филе замороженное 400г||Агама Роял Гринланд|Бухта изобилия|Россия|0.4 кг||Треска атлантическая||86.0|20 г|0.9 г|-18 г|450 дней|359₽/шт|https://media.vprok.ru/products/x700/wr/sb/oe2ks4wvnbvauba2f4yzpfxr3uhwsbwr.jpeg|https://www.vprok.ru/product/buhta-izobiliya-buh-iz-treska-file-ports-vu400g--336329
2279|Вафли Коломенское c орехами 200г||Коломенский|Коломенское|Россия|0.2 кг||Мука пшеничная общего назначения М55-23, сахар белый, жир кондитерский (рафинированное дезодорированное растительное масло в натуральном и модифицированном виде (пальмовое), эмульгатор соевый лецитин, антиокислитель концентрат смеси токоферолов), сыворотка молочная сухая, ядра арахиса жареные, молоко сухое обезжиренное, какао-порошок, эмульгатор соевый лецитин, ядра фундука жареные, ядра миндаля жареные, соль, разрыхлитель - гидрокарбонат натрия (сода пищевая), ароматизатор||520.0|6.5 г|27 г|62 г|270 дней|92,9₽/шт|https://media.vprok.ru/products/x700/mx/y3/2hbw2l5e3gq2sbvrxmxilyzlmf73y3mx.jpeg|https://www.vprok.ru/product/kolomenskoe-kolom-vafli-s-orehami-200g--673945
2280|Огурчики Globus Старорусские соленые 900г||Кубанский консервный комбинат|Globus|Россия|0.9 кг||Огурцы, соль, зелень (укроп, хрен, лист вишни и др.), чеснок, специи, молочная кислота.||8.0|||2 г|1095 дней|249,9₽/шт|https://media.vprok.ru/products/x700/wu/on/s4xja2nkmlfdfbkfz3j56oazrpfbonwu.jpeg|https://www.vprok.ru/product/globus-globus-ogurch-starorus-sol-900g--983472
